variable,states,mean_entropy,normalized_entropy
a0604,2,0.6586363771506959,0.6586363771506959
edad,3,0.5313779080110009,0.33526213255469745
desc_mun,133,4.075939172701954,0.5777145294981249
a0401,2,0.5424508705656178,0.5424508705656178
x_region,2,0.6976582845522896,0.6976582845522896
municipio,3,1.2560338641501614,0.7924691363856669
a1503,3,0.5180755774444991,0.3268692964084483
a0204,2,0.017316081170343195,0.017316081170343195
a0203,2,0.3932141709392412,0.3932141709392412
a0702p,2,0.30778752736927706,0.30778752736927706
a0703p,2,0.4658868716029597,0.4658868716029597
